path,severity,rule,line,excerpt_hash
docs/agent-collaboration-board.md,low,private_marker,62,cc880ed0999cebee
docs/agent-collaboration-board.md,low,private_marker,99,41c163623c78c8f5
docs/agent-collaboration-protocol.md,low,private_marker,58,4a0397cab8765208
docs/an-personal-study-room-todo.md,low,private_marker,124,2836c8032cea1178
docs/an-personal-study-room-todo.md,low,private_marker,144,ef88dfed5a849ddc
docs/an-personal-study-room-todo.md,low,private_marker,187,a368de15a3744ff4
docs/an-personal-study-room-todo.md,low,private_marker,325,3a5793789df6a407
docs/backend/xiaoan-chat-proxy.md,low,private_marker,96,d298d5fad4bb9d89
docs/codex-session-2026-05-16-study-room-frontend-stability.md,low,private_marker,5,a4574f66797cb133
docs/codex-session-2026-05-16-study-room-frontend-stability.md,low,private_marker,29,8fd5a89c0471edef
docs/codex-session-2026-05-16-study-room-frontend-stability.md,low,private_marker,36,e5122cc958565c4d
docs/cross-platform-release-workflow.md,low,private_marker,19,b5ade79909995fe2
docs/cross-platform-release-workflow.md,low,private_marker,52,121d6b3e716b270e
docs/raw-entry-and-promotion-rules.md,low,private_marker,19,91b96e40e480927d
scripts/normalize_public_metadata.py,low,private_marker,23,85b43450694b0ff1
site/docs/backend/xiaoan-server-deployment.md,low,private_marker,44,19ad8c6f4b832d76
site/docs/backend/xiaoan-server-deployment.md,low,private_marker,58,49a259a4beaa54f7
site/docs/backend/xiaoan-server-deployment.md,low,private_marker,64,7646b60ad25c6a30
site/docs/desktop-tauri.md,low,private_marker,13,aecbd9d2ebb82f84
site/docs/desktop-tauri.md,low,private_marker,47,bd492aa09db54edc
site/docs/desktop-tauri.md,low,private_marker,79,85bc09d78d9e52e1
site/docs/desktop-tauri.md,low,private_marker,116,710389c63e7d94b3
site/docs/desktop-tauri.md,low,private_marker,155,77ec9fa1e1f1cac2
site/docs/three-platform-workflow.md,low,private_marker,40,9b2055126efe8afe
site/docs/three-platform-workflow.md,low,private_marker,42,f91856a680ac809c
site/docs/three-platform-workflow.md,low,private_marker,62,dd3c28f4dc103dcb
site/docs/three-platform-workflow.md,low,private_marker,85,441939493b7e07b2
site/scripts/sync-site-data.mjs,low,private_marker,144,9a85959f086797da
site/scripts/sync-site-data.mjs,low,private_marker,145,c36776a7aab88676
site/server/xiaoan-chat-proxy.mjs,low,private_marker,36,e2c5c133a68e641f
site/server/xiaoan-chat-proxy.mjs,low,private_marker,327,f6af0e0a3ea39368
site/server/xiaoan-chat-proxy.mjs,low,private_marker,330,73c26ae53eb13f70
site/src/components/XiaoanChat.tsx,low,private_marker,125,18f2ed00ee0173ed
site/src/data/siteData.generated.ts,low,private_marker,750,5ed9789d9a6cf293
site/src/data/siteData.generated.ts,low,private_marker,801,5ed9789d9a6cf293
site/src/data/siteData.generated.ts,low,private_marker,1469,e45cd14ead7e427c
site/src/data/siteData.generated.ts,low,private_marker,1783,5ed9789d9a6cf293
site/src/data/siteData.generated.ts,low,private_marker,2043,5ed9789d9a6cf293
site/src/data/siteData.generated.ts,low,private_marker,2201,5ed9789d9a6cf293
site/src/data/siteData.generated.ts,low,private_marker,2359,45a30aa1f7b89476
site/src/data/siteData.generated.ts,low,private_marker,2552,5ee641101f0d66d5
site/src/data/siteData.generated.ts,low,private_marker,2694,5ed9789d9a6cf293
site/src/data/siteData.generated.ts,low,private_marker,5450,3b8cf62812788cf0
site/src/data/siteData.generated.ts,low,private_marker,5475,8cc300dd19d48510
site/src/data/siteData.generated.ts,low,private_marker,5480,3c3d8efd2da62c80
site/src/data/siteData.generated.ts,low,private_marker,5488,4128b1f989afbd65
site/src/data/siteData.generated.ts,low,private_marker,5496,0acb5d70b1f43963
site/src/data/siteData.generated.ts,low,private_marker,5513,d55c1913f286a629
site/src/data/siteData.generated.ts,low,private_marker,5522,70623fadb90d619f
site/src/data/siteData.generated.ts,low,private_marker,5628,7e8733b04b94aac9
site/src/data/siteData.generated.ts,low,private_marker,5652,db4edb7b2f7bae92
site/src/data/siteData.generated.ts,low,private_marker,5661,99f05131aca310bf
site/src/data/siteData.generated.ts,low,private_marker,5698,84d7f57be08cc30e
site/src/data/siteData.generated.ts,low,private_marker,5733,61914f778c10a80a
site/src/data/siteData.generated.ts,low,private_marker,5873,9f94082286be3d20
site/src/pages/Home.tsx,low,private_marker,74,b7d14497f769426e
site/src/pages/Install.tsx,low,private_marker,320,36a7be9e492e285b
site/src/pages/Xiaoan.tsx,low,private_marker,104,97fb439ca9fe6e0e
wiki/concepts/agent-skill-governance.md,low,private_marker,27,1c3ce8151c5f360a
wiki/sources/karpathy-llm-wiki-pattern.md,low,private_marker,47,e03ff65f683fd00f
wiki/synthesis/information-review-queue.md,low,private_marker,40,782bef02a1810a9f
wiki/synthesis/information-review-queue.md,low,private_marker,42,a849460e0ecaa7db
wiki/synthesis/karpathy-official-wiki-layer.md,low,private_marker,32,f1fcd147b8385695
